다북쑥속의 식물	オウシュウヨモギ
크로뮴	クロム
이루다	達成する,収める,成し遂げる
크롬렉	支石墓
섬유 광학	ファイバー光学
아이스박스	冷蔵庫
한 지방의 특유성	固有種
남자 이름	1. エイブラハム・リンカーン 2. ウリヤ 3. アンドリュー,アンデレ,アンドル
피난민	難民
황폐케하다	壊す
다이아몬드	ダイヤモンド
움라우트	分音符号
쿠션 먼저 치기	トレビュシェット
크레용	パステル,クレヨン
유순함	法令遵守
유순한	従順な,従順,忠実な,忠実
이집트 아랍 공화국	エジプト
자기 만족의	ひとりよがりの
카람볼라	スターフルーツ
마이소르	カルナータカ州,カルナータカ
실력사회	能力主義
살아남다	ある,いる
프란슘	フランシウム
싸고야한 옷	バガテル
불운하게도	ainiku,残念,生憎
프랑슘	フランシウム
프랑스	フランス
잡다한	取り合わせた,雑多
이르다	1. 達成する,収める,成し遂げる 2. える,得る,手に入れる,買う,成し遂げる 3. 成し遂げる
동물학자	動物学者
나이지리아	ナイジェリア
실제적임	実用主義
따라서	したがって
???스	?リ?ス
보르네오 섬	1. ボルネオ島 2. ボルネオ島
아일랜드 해	アイリッシュ海
탐이나서 안달하는	痒い
토라지다	叱る,しかる
고혈을 빠는 사람	蛭,ヒル
이리듐	イリジウム
메가헤르츠	メガヘルツ
큰 소리로	1. 声を出して,大声で 2. 声を出して
저녁식사	夕食
제재소의	ニガー,黒いやつ
비단의	subesube,すべすべ
오트밀	オートミール
제일윗층	屋根裏部屋
불가결한 것	nyūyō,ひつよう,入用,にゅうよう
마술을 쓰는	マジック
애완 동물	そば
우주기원론	宇宙論
축구경기자	アメリカンフットボール,サッカー,アメフト
블루머	ズボン,パンツ
육두구	ナツメグ
동기를 주다	動機を与える
100분	パーセント,百分率
비단뱀	ニシキヘビ
오리사 주	オリッサ州,オリッサ
네모 팽이	独楽
콘택트 렌즈	コンタクトレンズ
유대풍	ユダヤ教
아라비아	アラビア
듣기좋은음조	音楽
붕장어	アナゴ,穴子
사과나무	林檎の木,リンゴの木
경제학자	エコノミスト,経済学者
잔업 시간	残業,オーバータイム
기호 논리학	数理論理学
블랙홀	ブラックホール
아카시아	1. アカシア 2. アカシア
비능률	不能
하누카	ハヌカ,ハヌカー,ハニカ
브뤼셀	ブリュッセル
협 박	脅迫
음극선	電子ビーム
유니콘	ユニコーン,一角獣
면회할 수 있는	1. 見える,目に見える 2. 見える,目に見える
유대인	ユダヤ人,ヘブライ語
소프트웨어	プログラム,ソフト,ソフトウェア,ソフトウエア
블로그	ブログ
마루깔개감	カーペット,絨毯
남자 친구	kare,カレ,カレシ,kareshi,かれし,ボーイフレンド
성나게하다	騒がす,いらいらさせる,苦しめる,煩わす
브로치	ブローチ
이의를 말하는	ベタベタする
대중교통	公共交通機関
십자가에 못박음	はりつけ
피라미	ヒメハヤ
미국 중북부의 주	ウィスコンシン
요오드	ヨードチンキ,ヨウ素
박싱 데이	ボクシング・デー
알랑거리다	お世辞を言う,諂う
웁살라	ウプサラ
반주 없게	アカペラに
마호메트교	回教
피란드	北欧諸国,フィンランド
약한 맥주	蛇足,バガテル
우습다	可笑しい
오페라	1. オペラ,オペラハウス,歌劇場 2. オペラ,歌劇団
느헤미야느헤미야서	ネヘミヤ記
유두종	乳頭腫
웰링턴	ウェリントン
유독한	害する,損なう
브로민	臭素
요약본	剥奪,凝縮,要約
웜바트	ウォンバット
콜카타	コルカタ,カルカッタ
저널리즘	報道,ジャーナリズム
운성체	流星
부주제	家父長制
교정하다	校正する,校正
존경을 얻다	なだめる
트리폴리	トリポリ
의의에 관한	セマンティック
불이행	油断,過失,yudan,ゆだん
부족한	ごく僅かの
위령곡	死者のためのミサ,鎮魂歌
소생하다	1. 起こす 2. 蘇らせる
건강에 좋게	健康的に,健康に
코페르니쿠스설	地動説
친척등용	ネポティズム
그 열매	1. クランベリー 2. 唐辛子,パプリカ
명백하지 않은	あいまいな
비등점	沸点
당좌 예금	銀行口座
빗대는	皮肉な,風刺的な
아제르바이잔	アゼルバイジャン
에이브러햄 링컨	エイブラハム・リンカーン
정성들여서	1. じっくり,丹念に 2. じっくり,丹念に
인색하다	そろばんだかい,算盤高い,sorobandakai
공격으로 나오다	攻撃する
재투성이의	青ざめた
고기 베는 큰 칼	包丁
수영 모자의 일종	マーモット
勿忘草	勿忘草
돌연변이	1. 突然変異 2. 突然変異体,突然変異
1)단축하다	短縮する,縮む,略す,省略する
플루트	1. フルート,横笛,笛 2. 笛
우슬초	綿棒
테러 행위	テロリズム,テロ
나그네비둘기	リョコウバト
항균성	抗菌性
풍족한	豊かな
와이오밍	ワイオミング州,ワイオミング
예언 능력	予言
응급치료	救護,応急措置,救急
코카인	コカイン
연락 도로	出入用道路
키스 병	伝染性単核球症
우수한	優れた,妙な,りっぱな,立派な,優良
고무적인	こころづよい,心強い
항공학	宇宙航行学
등마루	背中
아열대의	亜熱帯の
색소결핍증	アルビノ
이교도	1. 異邦人,不信者 2. キリスト教徒,クリスチャン
근본적인	基本
의심할 나위 없이	必ず,確かに,きっと
유량계	雨量計
어둠 속의	暗い
일각수	ユニコーン,一角獣
비둘기	1. ハト,鳩,hato 2. 鳩 3. 鳩
에게 해	エーゲ海
하노이	ハノイ
돼지 인플루엔자	豚インフルエンザ
몹시 탐내는	羨ましい
차입하고	貸付け,ローン
헤르니아	ヘルニア,脱腸
간접 공격	トレビュシェット
우주의 발생	宇宙論
붙임표	ハイフン
몬로비아	モンロビア
그리스의비극시인	エウリピデス
크로커스	サフラン
두름성 좋은 사람	管理者,支配人,ディレクター
괜찮습니다	感謝する
군사적 입장에서	軍事的に
수프 스푼	散り蓮華,散蓮華
아이슬란드	1. アイスランド,Aisurando 2. アイスランド,あいすらんど
슬로바키아	スロヴァキア,スロバキア
드물게	稀に
봉하다	立ち込める
집중 폭격하다	飽和させる
원수님	陸軍元帥
구름이 많은	くもり,(kumori)
이글루	イグルー
비꼬는	辛辣です
평온한 만년	小春日和
인과율	因果関係
인공의	人工的な,人工の,人為的な
이국인	1. 外人,外国人 2. 異人,外人,外国人,がいこくじん
인공어	人工言語
하늘나라	極楽,パラダイス,楽園,十万億土,rakuen,らくえん,天堂
반감을 가진	憎い
인도인도	バーラタ,インド,印度
새끼 고양이	子猫
용연향	龍涎香
마샬 군도	マーシャル諸島共和国,マーシャル諸島
하라레	ハラレ
머리털이 있는	毛深い
속도 위반 딱지	クリスマス・カード
불모로 하다	殺菌する
에멜무지로	一応
사람을 괴롭히는	熱心な
음성사론	音韻学,音韻論
부엉이	ふくろう,梟,フクロウ
뇌를 쓰다	考える
발생기원	ご降誕,御降誕,生誕,出産,降誕
해금하다	合法化する
죽음의 무도의	身の毛もよだつ
쌍무적인	相互的な,双方
미치광이	変な人
요점은	1. 中々,実質的に,なかなか 2. 実質的に
원산종	原住民,アボリジニ
항독소	抗体
개구리 헤엄	平泳ぎ
하르키우	ハルキウ
수치스러운 행위	羞恥心
딱꾹질	shakkuri,しゃっくり
에피루스	イピロス,エピロス,エペイロス
용어집	語彙
목로술집	酒場
들리다	聞く
서정시인	作詞者,作詞家,さくしか,さくししゃ
실레지아	シレジア
언어 분석용 언어	メタ言語
은화 식물	隠花植物
온화한	愛想のいい
도량형학	測定学,度量衡,計測学,計量学
덴마크어	1. デンマーク語 2. デンマーク語
원심력	遠心力,えんしんりょく
머리카락	1. たてがみ,毛,髪,鬣 2. 毛
믿을수 있음	信用性,真実性
우연한	偶然
필리핀	1. フィリピン 2. フィリピン,フィリピン共和国
보호자	保護者,係員
유로퓸	ユウロピウム
비교의	深遠な,秘儀の,奥義の,秘密の
비교적	比較的,比較的に
실업 상태	失業
별자리의	1. 恒星の（こうせいの,星の 2. 恒星の（こうせいの,星の
이체 동형	準同型
스코트어	スコットランド語
코프라	コプラ
용적량	トン数
보복적 포획	ふっきゅう,復習
임계점	臨界点
말라깽이	かかし
시사회보	ニュースレター,かいし,kaishi,会誌
허수 부분	虚数部,虚部
불안감	予感
북엔드	ブックエンド
討論	論争
은둔자	仙人,世捨て人
비겁한	臆病な
상습적인	慢性的な
과소 평가하다	過小評価する
딸꾹질	shakkuri,しゃっくり
해돋이	akegata,暁,夜明け,あけがた,明け方
해독제	解毒剤
루마니아어	1. ルーマニア語 2. ルーマニア語
누악쇼트	ヌアクショット
비구름	雨雲,後光
마약 중독자	ジャンキー,麻薬常習者,麻薬中毒者
슈퍼마켓	1. # 食料雑貨店,食料品店 2. スーパーマーケット
욕지기	吐き気
볼프람	タングステン
한란계	温度計
우아한	1. 典雅な 2. 女らしい,おんならしい
탄생시의 별 위치	ホロスコープ
모음 변이	分音符号
비비꾄 목걸이	トルク,toruku
열대 다우림	雨林,熱帯雨林
오히려	ふと
분압기	ポテンショメータ
피부병학	皮膚科学
요즈음	最近,さいきん,saikin
부끄럽게 하다	困らせる,狼狽
무력하게 하다	無効にする,無力化する
기계적 방법	暗記学習
연주 대	キオスク
우익수	ライト,右翼手
스튜어디스	乗務員
작곡가	作曲者,sakkyokuka,さっきょくか,作曲家,さっきょくしゃ,sakkyokusha
그 수도	サンマリノ,サン・マリノ
비난의	批難,非難
부족액	不足
북조선	北朝鮮,朝鮮民主主義人民共和国
휩쓸어 넣다	合同
미뉴에트	メヌエット
아칸어군	アカン語
드로즈	ズボン,パンツ
바베이도스	バルバドス
브라질	伯剌西爾,ブラジル
고약한 냄새	悪臭,臭い
히스테리의 발작	癇癪
핀란드	北欧諸国,フィンランド
뇌신경세포	脳細胞
어머니 같은	母方の,母性
몹시 알랑대는	ごますりの
건량의 단위	クォート
분점년	太陽年
상파울루	サンパウロ市,パウロ
일기장	日記
외치다	1. 叫ぶ 2. 叫ぶ 3. 叫ぶ 4. 叫ぶ 5. 叫ぶ 6. なる
브랜디	ブランデー,コニャック
이스라엘 사람	イスラエル人
그 상의	タキシード
부인회	姉妹
우유술	馬乳酒,クミス
우인론	時折の,偶発的,偶然な,偶,時折
말라기서	マラキ書
로제타석	ロゼッタ・ストーン
와이셔츠	シャツ,Ｔシャツ
우유점	酪農場,牛乳屋,牛乳販売店,日用雑貨店,牧場
하드론	ハドロン
유감스러운	悔しい
유행성 이하선염	流行性耳下腺炎,おたふく風邪
약한 사람	弱虫
부적격	不可
유물론	唯物論
운전사	運転手
유모차	乳母車,ベビーカー
불완전	不完全
향고래	マッコウクジラ
불구자로 만들다	不具,不具にする
세인트 마틴	セント・マーチン
유명한	有名な,nadakai,なだかい,名高い,高名な,有名
그렇지 마는	やはり,しかも,それにもかかわらず,それでも
자기권	磁気圏
목재 펄프	パルプ
우주론	宇宙論
에드먼턴	エドモントン
으뜸패	きりふだ,切り札
제멋대로의	自分本位の,利己的な,わがままな,身勝手な,勝手な
자궁전	絞り
필란드의 수도	ヘルシンキ
부자인	金持,金持の,富有な,裕福,富有,裕福な,豊か
부유한	金持,金持の,富有な,裕福,富有,裕福な,豊か
자역하다	字訳
건강하여	健康的に,健康に
니콜라스	ニコラス
허드렛일	雑用,任務,雑務
몰인정한	kokuhaku na,非人道的な,酷薄な,こくはくな
보기에 즐거운	官能的な,肉感的な,豊満な
최저음의 종	バグパイプ
땅거미	黄昏,薄明,日暮
불안한	不安な
음소론의	音韻論
알래스카 주	アラスカ州
변덕스러운	不定な
표에 올리다	計画,議事,日程
고문체의	初期,古風な
전자 레인지	チン,電子レンジ,電子レンジオーブン,マイクロ波
여가장제	家母長制
